"Activate fallback for locale","Activar idioma segunda opción para la configuración regional"
"Locale Fallback","Idioma segunda opción"
"Locale Preferred","Paquete de idioma"
"Language Extensions","Gestionar paquetes de idioma"
"Manage Language Packs","Gestionar paquetes de idioma"
"Translations are differing, values from Locale Fallback will be used.","Las traducciones son diferentes, la segunda opción será utilizada."
"Translations are identical, you can safely switch off the Locale Fallback.","Las traducciones son idénticas, se puede deshabilitar la segunda opción."
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href=""%s"">Get more information here.</a>","Atención: Su paquete de idioma no coincide con la versión de Magento. Obtenga más información <a href=""%s"">aquí</a>."
"Translate Magento Connect Manager","Traducir Gestor Magento Connect"
"Using your own translations","Usando sus propias traducciones"
"Recommended extensions","Extensiones recomendadas"
"Translate TinyMCE","Traducir TinyMCE"
"German language package de_AT - Community Edition (CE)","Paquete de idioma alemán de_AT - Community Edition (CE)"
"German language package de_CH - Community Edition (CE)","Paquete de idioma alemán de_CH - Community Edition (CE)"
"German language package de_DE - Community Edition (CE)","Paquete de idioma alemán de_DE - Community Edition (CE)"
"German language package de_LU - Community Edition (CE)","Paquete de idioma alemán de_LU - Community Edition (CE)"
"Use German language for TinyMCE Editor?","¿Utilice la versión alemana del editor TinyMCE?"
